acgme_program_id,canonical_rise_program_id,program_specialty_id,program_name,specialty,city,state,accreditation_status,effective_date,academic_year,newly_accredited
4511200003,rise_prg_53524422-5324-5cc2-b67a-93c35b0693e1,rise_ps_282ead07-7a5b-58db-b958-808faac27718,Medical College of Georgia Program,Vascular Surgery-Integrated,Augusta,GA,Initial Accreditation,02/26/2026,2025-2026,true
4514700001,rise_prg_aeacc8e7-0d32-5793-8300-d244176aedc3,rise_ps_092682a8-352d-58bf-b1a8-fd96da6500b9,Vanderbilt University Medical Center Program,Vascular Surgery-Integrated,Nashville,TN,Initial Accreditation,04/16/2026,2025-2026,true
4514900001,rise_prg_ea3844b9-d40b-5214-a64d-6e28ce376b1f,rise_ps_b7738ab9-1993-5b5e-90af-da95620e1568,University of Utah Health Program,Vascular Surgery-Integrated,Salt Lake City,UT,Initial Accreditation,08/27/2026,2026-2027,true
4515100004,rise_prg_c880a0ae-b96d-53d2-ad08-a3d1b705aaa0,rise_ps_ddb06ebb-2e5a-5a8b-93d1-c9d0aa94f1d7,University of Virginia Medical Center Program,Vascular Surgery-Integrated,Charlottesville,VA,Initial Accreditation,04/16/2026,2025-2026,true
4602800001,rise_prg_8efa77c4-12ec-5ab3-a110-4f3461c41800,rise_ps_8e0016c0-0db3-5dbc-afa7-e5c558ab7a4d,SSM Health/Saint Louis University School of Medicine Program,Thoracic Surgery,Saint Louis,MO,Initial Accreditation,03/06/2026,2025-2026,true
4604800002,rise_prg_7bd66fcf-894b-5522-8bd9-eb384b3896b1,rise_ps_3cc3f1e9-c103-5677-9301-f500a5876541,HCA Houston Healthcare/University of Houston Program,Thoracic Surgery,Webster,TX,Initial Accreditation,03/06/2026,2025-2026,true
4802400001,rise_prg_67a1c7c9-1e78-5013-a789-10d460e8a0ca,rise_ps_097aaf25-5c42-5f0f-a463-749e90fae668,Mass General Brigham Program,Urology,Boston,MA,Initial Accreditation,08/21/2026,2026-2027,true
4802400002,rise_prg_36cb6758-caf4-5e97-a096-c1d2054ad79c,rise_ps_abc3dc7b-5d0a-5c41-8803-e73d4831af99,Tufts Medical Center Program,Urology,Boston,MA,Initial Accreditation,04/16/2026,2025-2026,true
7352400001,rise_prg_b6b49a43-825d-51a8-81e0-21f237afcc53,rise_ps_4c8065bf-0b93-57d9-bc36-58c44a92df58,Mass General Brigham Program,Pediatrics/Physical Medicine and Rehabilitation,Charlestown,MA,Accredited,,,false
7654000001,rise_prg_72443877-a539-5d9f-97f0-d0a79e4e13fd,rise_ps_673a03ab-d336-5eed-acde-73773023a6b3,Oregon Health & Science University (OHSU Health) Program,Pediatrics/Medical Genetics and Genomics,Portland,OR,Initial Accreditation,03/31/2026,2025-2026,true
7662444002,rise_prg_d10ec829-3bbe-566f-885d-e74253b5141d,rise_ps_f5665149-37d6-591d-8aef-c2d9b567fc3f,Mass General Brigham/Brigham and Women's Hospital/Harvard Medical School Program,Internal Medicine/Medical Genetics and Genomics,Boston,MA,Initial Accreditation,07/01/2025,2025-2026,true
